Version,Config,Problem,Type,Iteration,Duration,Generations,Speed,Cost,Tours,Unassigned
1.10.8,default,multi-vtype.1000,pragmatic,5,496,10000,20.1500,3180.7900,25,0
master,default,reload.100,pragmatic,5,114,10000,87.1500,453.3200,4,0
1.10.8,default,reload.100,pragmatic,5,101,10000,98.0400,460.9200,4,0
master,default,delivery.1000.json,pragmatic,5,366,10000,27.2900,3948.6000,25,0
1.10.8,default,delivery.1000.json,pragmatic,5,307,10000,32.4900,3921.1300,25,0
master,default,delivery.100,pragmatic,6,39,10000,254.2600,663.8600,5,0
1.10.8,default,delivery.100,pragmatic,6,39,10000,255.8000,649.0700,5,0
master,default,delivery.1000,pragmatic,6,495,10000,20.2000,3183.0700,25,0
1.10.8,default,delivery.1000,pragmatic,6,378,10000,26.4000,3179.8300,25,0
master,default,multi-job.25,pragmatic,6,1102,10000,9.0700,305.7800,2,0
1.10.8,default,multi-job.25,pragmatic,6,1147,10000,8.7100,304.7800,2,0
master,default,multi-vtype.1000,pragmatic,6,516,10000,19.3600,3185.7600,25,0
1.10.8,default,multi-vtype.1000,pragmatic,6,408,10000,24.4600,3181.6600,25,0
master,default,reload.100,pragmatic,6,107,10000,93.1800,466.1000,4,0
1.10.8,default,reload.100,pragmatic,6,99,10000,100.7100,453.6000,4,0
master,default,delivery.1000.json,pragmatic,6,345,10000,28.9200,3957.3700,25,0
1.10.8,default,delivery.1000.json,pragmatic,6,271,10000,36.7700,3889.3500,25,0
master,default,delivery.100,pragmatic,7,49,10000,201.4300,671.4200,5,0
1.10.8,default,delivery.100,pragmatic,7,35,10000,284.4300,653.4900,5,0
master,default,delivery.1000,pragmatic,7,370,10000,27.0100,3185.0300,25,0
1.10.8,default,delivery.1000,pragmatic,7,338,10000,29.5100,3181.8000,25,0
master,default,multi-job.25,pragmatic,7,1076,10000,9.2900,308.7400,2,0
1.10.8,default,multi-job.25,pragmatic,7,1112,10000,8.9900,328.9200,2,0
master,default,multi-vtype.1000,pragmatic,7,470,10000,21.2800,3182.7600,25,0
1.10.8,default,multi-vtype.1000,pragmatic,7,379,10000,26.3700,3183.5200,25,0
master,default,reload.100,pragmatic,7,104,10000,95.8900,461.5600,4,0
1.10.8,default,reload.100,pragmatic,7,96,10000,103.5300,466.2300,4,0
master,default,delivery.1000.json,pragmatic,7,372,10000,26.8800,3919.2900,25,0
1.10.8,default,delivery.1000.json,pragmatic,7,290,10000,34.4700,3937.7000,25,0
master,default,delivery.100,pragmatic,8,38,10000,262.3100,644.8800,5,0
1.10.8,default,delivery.100,pragmatic,8,34,10000,288.0700,646.6800,5,0
master,default,delivery.1000,pragmatic,8,417,10000,23.9600,3182.0100,25,0
1.10.8,default,delivery.1000,pragmatic,8,366,10000,27.3200,3181.9100,25,0
master,default,multi-job.25,pragmatic,8,1138,10000,8.7800,311.5900,2,0
1.10.8,default,multi-job.25,pragmatic,8,1001,10000,9.9800,307.5400,2,0
master,default,multi-vtype.1000,pragmatic,8,466,10000,21.4200,3196.7400,25,0
1.10.8,default,multi-vtype.1000,pragmatic,8,386,10000,25.8800,3184.0800,25,0
master,default,reload.100,pragmatic,8,97,10000,102.2100,449.7100,4,0
1.10.8,default,reload.100,pragmatic,8,93,10000,106.4100,451.3300,4,0
master,default,delivery.1000.json,pragmatic,8,371,10000,26.9500,3953.9500,25,0
1.10.8,default,delivery.1000.json,pragmatic,8,266,10000,37.4900,3950.3700,25,0
master,default,delivery.100,pragmatic,9,46,10000,216.9400,645.1900,5,0
1.10.8,default,delivery.100,pragmatic,9,39,10000,256.3900,644.9100,5,0
master,default,delivery.1000,pragmatic,9,548,10000,18.2200,3176.7700,25,0
1.10.8,default,delivery.1000,pragmatic,9,441,10000,22.6700,3186.5100,25,0
master,default,multi-job.25,pragmatic,9,1136,10000,8.8000,310.9400,2,0
1.10.8,default,multi-job.25,pragmatic,9,1115,10000,8.9600,303.0500,2,0
master,default,multi-vtype.1000,pragmatic,9,578,10000,17.2900,3177.1800,25,0
1.10.8,default,multi-vtype.1000,pragmatic,9,420,10000,23.7800,3189.2700,25,0
master,default,reload.100,pragmatic,9,121,10000,82.1600,453.0700,4,0
1.10.8,default,reload.100,pragmatic,9,105,10000,95.1100,450.8900,4,0
master,default,delivery.1000.json,pragmatic,9,378,10000,26.4300,3924.8800,25,0
1.10.8,default,delivery.1000.json,pragmatic,9,308,10000,32.4400,3850.4300,25,0
master,default,delivery.100,pragmatic,10,33,10000,301.0000,665.6300,5,0
1.10.8,default,delivery.100,pragmatic,10,39,10000,251.7700,636.0100,5,0
master,default,delivery.1000,pragmatic,10,410,10000,24.3400,3183.6200,25,0
1.10.8,default,delivery.1000,pragmatic,10,364,10000,27.4400,3184.0500,25,0
master,default,multi-job.25,pragmatic,10,1173,10000,8.5300,307.9800,2,0
1.10.8,default,multi-job.25,pragmatic,10,1068,10000,9.3600,311.5100,2,0
master,default,multi-vtype.1000,pragmatic,10,465,10000,21.4700,3182.9700,25,0
1.10.8,default,multi-vtype.1000,pragmatic,10,390,10000,25.6100,3182.9200,25,0
master,default,reload.100,pragmatic,10,95,10000,105.2200,460.3400,4,0
1.10.8,default,reload.100,pragmatic,10,85,10000,116.8800,461.0700,4,0
master,default,delivery.1000.json,pragmatic,10,382,10000,26.1300,3947.0200,25,0
